item,time_ms,fps,detections
0000272_00000_d_0000001_jpg.rf.ba3ea4b7377490299381f7c06cacacb8.jpg,290.1750,3.4462,9
0000272_01500_d_0000004_jpg.rf.7cacc1624766cc699b514ddb0525bf3b.jpg,289.7120,3.4517,6
0000272_02000_d_0000005_jpg.rf.8af2364d7a700e9c85af13d2b1b56de1.jpg,291.2610,3.4333,2
0000272_02500_d_0000006_jpg.rf.7304de6dd563809676d35c547aff4b54.jpg,290.5480,3.4418,8
0000272_03500_d_0000008_jpg.rf.c77b2424e977412beef14526a90ae5aa.jpg,289.6530,3.4524,7
0000272_04000_d_0000009_jpg.rf.60d4da27cfb156a58f4825708e8f6e53.jpg,289.7310,3.4515,6
0000272_04500_d_0000010_jpg.rf.ceb040d10963fffc83208e7c85b07a63.jpg,291.0000,3.4364,15
0000272_05000_d_0000011_jpg.rf.6a20e910768f8d430010b4b5e733f258.jpg,290.0900,3.4472,9
0000272_05500_d_0000012_jpg.rf.e30b04e2f73959a0767021c818ae2357.jpg,290.2280,3.4456,11
0000278_02251_d_0000001_jpg.rf.ec0a00447bbcf4b8379d0269236c2b38.jpg,290.8320,3.4384,3
0000278_02351_d_0000002_jpg.rf.d85185e74eaeabe2f1ca1b48bd7b9639.jpg,290.2360,3.4455,4
0000278_02451_d_0000003_jpg.rf.42e825d73916907affba1e43ead38341.jpg,289.8820,3.4497,3
0000278_02951_d_0000008_jpg.rf.05d58950c03d22e773c5ac98cff9e489.jpg,290.6190,3.4409,6
0000294_00000_d_0000053_jpg.rf.a6be1b9528d2ef102c771597904077e3.jpg,290.5900,3.4413,18
0000298_00000_d_0000070_jpg.rf.086619e08f86cc0c46622f7382eb8472.jpg,289.8020,3.4506,8
0000299_00000_d_0000088_jpg.rf.9a8a9f11693a91403caad04d1d4b7d56.jpg,289.9900,3.4484,12
0000299_01200_d_0000096_jpg.rf.35fadb6f460559d4a2561b498f8c22d7.jpg,290.5140,3.4422,5
0000299_01650_d_0000099_jpg.rf.66841c7b5476a882c084a874ea6d4f2a.jpg,291.5730,3.4297,1
0000299_01800_d_0000100_jpg.rf.df6e96e80f233a0c01e2a1e6fd399693.jpg,289.2640,3.4570,3
0000299_02500_d_0000102_jpg.rf.3a398b1f33285dbff18bb89207bfbac3.jpg,290.6120,3.4410,3
0000299_03500_d_0000104_jpg.rf.d1f22cd4213e5bfd141d74bc0203e194.jpg,289.8830,3.4497,1
0000299_04000_d_0000105_jpg.rf.0041a0f93941eb1657d2cf6e666958dc.jpg,289.7060,3.4518,4
0000299_04500_d_0000106_jpg.rf.abe3b4a8dc20371d4e4c8fcef25961cd.jpg,289.0350,3.4598,2
0000299_05000_d_0000107_jpg.rf.523c0e04a145d83fc75b3d5a82cc7897.jpg,289.0830,3.4592,8
0000299_05500_d_0000108_jpg.rf.30e1395a51eb48123e1457a2d1dded21.jpg,289.0600,3.4595,15
0000310_02500_d_0000123_jpg.rf.53045a7cb7e9a01361b9ab00af5a4d42.jpg,288.9360,3.4610,14
0000310_03000_d_0000124_jpg.rf.f82d79b61e0067f8dcbd3416069b8743.jpg,290.1440,3.4466,7
0000310_03500_d_0000125_jpg.rf.4979833b63656dda51bc529d65bf9156.jpg,289.5130,3.4541,5
0000310_04000_d_0000126_jpg.rf.9a144831ac524294f569f8a567f89f10.jpg,289.5470,3.4537,22
0000310_05822_d_0000130_jpg.rf.43b3ac5d5eb4b517f245040f67bd053e.jpg,290.6320,3.4408,15
