item,time_ms,fps,detections
0000328_01050_d_0000025_jpg.rf.6f6830634514f90bbf01d4fcb946de2c.jpg,161.2470,6.2017,4
0000337_00500_d_0000037_jpg.rf.2f9907b237adbf905662c2af810cecef.jpg,157.6650,6.3426,8
0000337_01000_d_0000038_jpg.rf.8d010ba76314693b0c61beb7eb943afb.jpg,156.7400,6.3800,7
0000337_01500_d_0000039_jpg.rf.349fa272c2183700a8ffcef0464e25d6.jpg,158.1460,6.3233,5
0000337_02000_d_0000040_jpg.rf.22f4ca719f721edb9ae075a571236f3a.jpg,157.5700,6.3464,11
0000337_02500_d_0000041_jpg.rf.ad4f6698e007efee47c48e9323e3f9a7.jpg,158.3870,6.3136,8
0000337_03000_d_0000042_jpg.rf.f5902f8457311ce4522d62f5d9944337.jpg,167.1290,5.9834,5
0000337_03500_d_0000043_jpg.rf.cf7b96c0649986487925b16f2b622ba2.jpg,158.4630,6.3106,6
0000337_04000_d_0000044_jpg.rf.cdf35f127b174428f7d888e497356a56.jpg,157.4500,6.3512,2
0000337_04362_d_0000045_jpg.rf.dfda89d78d06a7d515912418b75abbb8.jpg,157.9490,6.3312,3
0000347_00000_d_0000046_jpg.rf.cda65192e191fba76b3ba61c0d730b8d.jpg,157.6530,6.3430,6
0000347_00100_d_0000047_jpg.rf.09e577af4e4a69e75005741704050cda.jpg,157.9470,6.3312,13
0000347_00511_d_0000048_jpg.rf.0744006c76eaafd711ea61c32de08817.jpg,162.8780,6.1396,6
0000347_00800_d_0000049_jpg.rf.6da0ccd0cd6e3acfd467677d4b8b9080.jpg,158.2820,6.3178,10
0000347_01250_d_0000050_jpg.rf.4b4c1d4b44c570073f584c791d2a5a2b.jpg,157.2600,6.3589,5
0000347_01728_d_0000051_jpg.rf.03efee9994321c209415005ecc5e1aac.jpg,158.2140,6.3206,10
0000347_02000_d_0000052_jpg.rf.4ff158c95e1c83a840d0803b65825890.jpg,157.5300,6.3480,5
0000353_00000_d_0000188_jpg.rf.590d95a09619235838a72669c2b5a55b.jpg,157.5370,6.3477,6
0000353_00500_d_0000189_jpg.rf.b1baf0207d2c1958a0297e7a814970d5.jpg,161.0670,6.2086,6
0000353_01000_d_0000190_jpg.rf.17f0c99dfa429ec7d2130b05a5078b7c.jpg,158.6120,6.3047,13
0000353_01500_d_0000191_jpg.rf.550cb2bd0aa0f597076164d4a0985ad3.jpg,157.4520,6.3511,13
0000353_02000_d_0000192_jpg.rf.5d4a5d5a94b652aac7a880c2aac197a7.jpg,158.1920,6.3214,14
0000353_02500_d_0000193_jpg.rf.81a2b23ccca7f0f7ce17e76f3ced4485.jpg,157.9170,6.3324,9
0000353_03500_d_0000195_jpg.rf.cf73dbb70e096863491e0efea9b5a67f.jpg,157.6930,6.3414,4
0000353_04500_d_0000197_jpg.rf.10f6fb31c332289ba3b34d86600bee7a.jpg,161.5640,6.1895,4
0000353_05000_d_0000198_jpg.rf.2176d8cacf2ce6ad1aaa454b5ff0752c.jpg,158.1920,6.3214,4
0000353_05500_d_0000199_jpg.rf.e2fb37899059d464324d59e6076d990e.jpg,157.1720,6.3625,2
0000353_06000_d_0000200_jpg.rf.6e6c3340a8dafe16c2e00c2509507f15.jpg,158.4430,6.3114,2
0000355_00000_d_0000206_jpg.rf.b4627d3b01f8202298c6bce0bc0b99b3.jpg,158.8300,6.2960,1
0000355_01000_d_0000208_jpg.rf.685bb0b509ec54db9521aae2d335e81a.jpg,156.9770,6.3704,1
0000355_02500_d_0000211_jpg.rf.57b50843a51dd75c96246babfc59ddb5.jpg,161.4000,6.1958,0
0000365_00000_d_0000223_jpg.rf.3dcb1a45a59ba00f9eba697909c5c325.jpg,157.7950,6.3373,10
0000365_00500_d_0000224_jpg.rf.3672d999606941321b03dcc4f31320a5.jpg,156.9560,6.3712,12
0000365_01000_d_0000225_jpg.rf.2ca3223068b58896508bb409dc6e7e1e.jpg,157.6550,6.3430,9
0000365_01500_d_0000226_jpg.rf.cbf9fa5bcdd3303a560e5103d8dce1ad.jpg,157.6660,6.3425,10
9999938_00000_d_0000001_jpg.rf.e82e2dad3f966a073ef131d07bd052e7.jpg,157.0710,6.3665,14
9999938_00000_d_0000002_jpg.rf.197f87d1f15217d8832c2337e3c718fe.jpg,161.1430,6.2057,1
9999938_00000_d_0000003_jpg.rf.355bb05051fa2d40f7fdc6822887f661.jpg,159.1320,6.2841,0
9999938_00000_d_0000004_jpg.rf.708c6a3004f47c9d4fa9daca0857f4c7.jpg,157.3300,6.3561,0
9999938_00000_d_0000005_jpg.rf.410592ec22ede19d2ca21d6bf2e90b1e.jpg,157.8540,6.3350,0
9999938_00000_d_0000006_jpg.rf.da9c21f52a88c3e096574c622e812ad9.jpg,157.4500,6.3512,0
9999938_00000_d_0000007_jpg.rf.c134ae4d5aa0b9ced9a2e92cb1886cd7.jpg,157.2950,6.3575,0
9999938_00000_d_0000008_jpg.rf.2a438e6bc8138433372f7150f4560a25.jpg,161.6460,6.1864,0
9999938_00000_d_0000010_jpg.rf.b8c94ce121a05341bc13907f5562b285.jpg,162.1050,6.1688,0
9999938_00000_d_0000012_jpg.rf.4aa36be24599f0cddadfd95b1bc254a1.jpg,157.4790,6.3501,0
